datetime,open,high,low,close
2018-01-05T15:00:00,1316.07,1320.56,1316.05,1318.77
2018-01-05T16:00:00,1318.77,1322.07,1318.27,1321.37
2018-01-05T17:00:00,1321.37,1321.45,1319.98,1320.54
2018-01-05T18:00:00,1320.54,1321.29,1319.41,1320.25
2018-01-05T19:00:00,1320.25,1321.15,1320.22,1320.54
2018-01-05T20:00:00,1320.54,1320.66,1318.36,1320.26
2018-01-05T21:00:00,1320.26,1320.54,1319.71,1320.32
2018-01-07T23:00:00,1320.32,1321.26,1319.11,1319.47
2018-01-08T00:00:00,1319.47,1320.84,1319.17,1320.54
2018-01-08T01:00:00,1320.54,1322.03,1319.92,1320.75
2018-01-08T02:00:00,1320.75,1321.65,1319.59,1320.16
2018-01-08T03:00:00,1320.16,1320.95,1319.85,1320.28
2018-01-08T04:00:00,1320.28,1320.49,1319.47,1320.14
2018-01-08T05:00:00,1320.14,1320.28,1317.26,1317.92
2018-01-08T06:00:00,1317.92,1318.86,1317.38,1318.76
2018-01-08T07:00:00,1318.76,1318.76,1315.66,1315.83
2018-01-08T08:00:00,1315.83,1316.69,1314.65,1316.3
2018-01-08T09:00:00,1316.3,1317.33,1316.14,1317.03
2018-01-08T10:00:00,1317.03,1320.84,1316.9,1319.99
2018-01-08T11:00:00,1319.99,1320.99,1319.5,1320.32
2018-01-08T12:00:00,1320.32,1320.52,1318.38,1318.41
2018-01-08T13:00:00,1318.41,1320.78,1317,1319.86
2018-01-08T14:00:00,1319.86,1320.73,1318.1,1318.88
2018-01-08T15:00:00,1318.88,1320.42,1317.69,1319.64
2018-01-08T16:00:00,1319.64,1319.64,1315.81,1316.62
2018-01-08T17:00:00,1316.62,1318.09,1316.01,1318.06
2018-01-08T18:00:00,1318.06,1319.58,1317.66,1318.83
2018-01-08T19:00:00,1318.83,1319.13,1318.08,1318.95
2018-01-08T20:00:00,1318.95,1320.01,1318.71,1319.89
2018-01-08T21:00:00,1319.89,1320.5,1319.88,1320.28
2018-01-08T23:00:00,1320.28,1320.39,1317.92,1317.94
2018-01-09T00:00:00,1317.94,1318.53,1317.63,1317.86
2018-01-09T01:00:00,1317.86,1318.37,1315.57,1317.77
2018-01-09T02:00:00,1317.77,1319.33,1317.77,1319.26
2018-01-09T03:00:00,1319.26,1319.4,1318.12,1318.92
2018-01-09T04:00:00,1318.92,1319.23,1318.38,1318.73
2018-01-09T05:00:00,1318.73,1320.09,1318.73,1319.25
2018-01-09T06:00:00,1319.25,1319.47,1317.72,1317.91
2018-01-09T07:00:00,1317.91,1318.59,1316.66,1317.3
2018-01-09T08:00:00,1317.3,1317.55,1313.15,1314.41
2018-01-09T09:00:00,1314.41,1315.42,1313.79,1315.31
2018-01-09T10:00:00,1315.31,1315.31,1313.77,1314.76
2018-01-09T11:00:00,1314.76,1315.51,1313.88,1314.89
2018-01-09T12:00:00,1314.89,1315.86,1314.17,1314.38
2018-01-09T13:00:00,1314.38,1315.19,1310.42,1312.44
2018-01-09T14:00:00,1312.44,1313.13,1308.76,1309.73
2018-01-09T15:00:00,1309.73,1312.9,1309.73,1311.63
2018-01-09T16:00:00,1311.63,1312.34,1310.27,1310.93
2018-01-09T17:00:00,1310.93,1311.77,1309.93,1311.67
2018-01-09T18:00:00,1311.67,1312.84,1311.37,1312.59
2018-01-09T19:00:00,1312.59,1315.62,1312.57,1313.55
2018-01-09T20:00:00,1313.55,1314.22,1312.74,1313.84
2018-01-09T21:00:00,1313.84,1314.13,1312.34,1312.64
2018-01-09T23:00:00,1312.64,1312.64,1310.23,1310.27
2018-01-10T00:00:00,1310.27,1310.74,1309.15,1310.26
2018-01-10T01:00:00,1310.26,1311.13,1308.08,1310.99
2018-01-10T02:00:00,1310.99,1312.37,1310.43,1312.25
2018-01-10T03:00:00,1312.25,1312.25,1310.3,1310.5
2018-01-10T04:00:00,1310.5,1310.78,1309.41,1310.43
2018-01-10T05:00:00,1310.43,1311.24,1309.57,1309.58
2018-01-10T06:00:00,1309.58,1310.62,1309.02,1309.94
2018-01-10T07:00:00,1309.94,1311.63,1309.76,1311.2
2018-01-10T08:00:00,1311.2,1314.83,1311.2,1313.98
2018-01-10T09:00:00,1313.98,1315.39,1313.88,1314.47
2018-01-10T10:00:00,1314.47,1322.82,1314.06,1321.11
2018-01-10T11:00:00,1321.11,1327.63,1321.11,1323.7
2018-01-10T12:00:00,1323.7,1325.35,1321.21,1322.41
2018-01-10T13:00:00,1322.41,1323.41,1318.25,1319.64
2018-01-10T14:00:00,1319.64,1320.9,1314.46,1317.64
2018-01-10T15:00:00,1317.64,1320.32,1317.37,1319.08
2018-01-10T16:00:00,1319.08,1319.46,1315.53,1317.05
2018-01-10T17:00:00,1317.05,1317.93,1316.27,1317.66
2018-01-10T18:00:00,1317.66,1319.17,1317.61,1318.32
2018-01-10T19:00:00,1318.32,1319.2,1316.67,1318.93
2018-01-10T20:00:00,1318.93,1320.26,1317.35,1317.36
2018-01-10T21:00:00,1317.36,1317.67,1315.98,1316.49
2018-01-10T23:00:00,1316.49,1317.78,1316.06,1317.67
2018-01-11T00:00:00,1317.67,1318.91,1317.65,1318.79
2018-01-11T01:00:00,1318.79,1318.83,1317.11,1318.01
2018-01-11T02:00:00,1318.01,1320.12,1317.78,1320.02
2018-01-11T03:00:00,1320.02,1320.73,1318.79,1319.04
2018-01-11T04:00:00,1319.04,1319.43,1316.47,1317.47
2018-01-11T05:00:00,1317.47,1318.53,1316.63,1317.79
2018-01-11T06:00:00,1317.79,1319.39,1316.72,1317.86
2018-01-11T07:00:00,1317.86,1318.35,1315.59,1316.63
2018-01-11T08:00:00,1316.63,1317.75,1316.44,1317.15
2018-01-11T09:00:00,1317.15,1318.69,1316.7,1318.24
2018-01-11T10:00:00,1318.24,1320.11,1318.11,1319.3
2018-01-11T11:00:00,1319.3,1319.52,1318.12,1319.1
2018-01-11T12:00:00,1319.1,1320.33,1317.68,1319.41
2018-01-11T13:00:00,1319.41,1322.65,1319.21,1320.82
2018-01-11T14:00:00,1320.82,1323.29,1319.85,1322.38
2018-01-11T15:00:00,1322.38,1323.42,1319.69,1321.03
2018-01-11T16:00:00,1321.03,1322.56,1320.43,1321.57
2018-01-11T17:00:00,1321.57,1322.45,1321.55,1322.15
2018-01-11T18:00:00,1322.15,1323.9,1321.01,1322.36
2018-01-11T19:00:00,1322.36,1323.77,1322.33,1323.07
2018-01-11T20:00:00,1323.07,1323.2,1321.1,1321.69
2018-01-11T21:00:00,1321.69,1322.64,1321.67,1322.22
2018-01-11T23:00:00,1322.22,1322.73,1321.46,1322.7
2018-01-12T00:00:00,1322.7,1324.89,1322.67,1324.23
2018-01-12T01:00:00,1324.23,1324.34,1323.1,1323.79
2018-01-12T02:00:00,1323.79,1326.36,1323.54,1326.14
2018-01-12T03:00:00,1326.14,1327.23,1325.63,1327.21
2018-01-12T04:00:00,1327.21,1330.24,1327.06,1329.39
2018-01-12T05:00:00,1329.39,1329.91,1327.7,1328.17
2018-01-12T06:00:00,1328.17,1329.32,1327.97,1328.75
2018-01-12T07:00:00,1328.75,1329.31,1326.71,1327.62
2018-01-12T08:00:00,1327.62,1329.65,1326.48,1329.57
2018-01-12T09:00:00,1329.57,1332.32,1329.47,1330.77
2018-01-12T10:00:00,1330.77,1333.02,1329.97,1331.7
2018-01-12T11:00:00,1331.7,1332.15,1330.5,1331.21
2018-01-12T12:00:00,1331.21,1332.61,1330.72,1331.96
2018-01-12T13:00:00,1331.96,1333,1321.31,1325.85
2018-01-12T14:00:00,1325.85,1328.38,1324.57,1326.97
2018-01-12T15:00:00,1326.97,1332.26,1326.91,1331.25
2018-01-12T16:00:00,1331.25,1331.68,1329.91,1330.64
2018-01-12T17:00:00,1330.64,1331.94,1330.51,1331.78
2018-01-12T18:00:00,1331.78,1337.88,1331.67,1337.6
2018-01-12T19:00:00,1337.6,1339.25,1336.68,1337.44
2018-01-12T20:00:00,1337.44,1339.23,1337.11,1337.94
2018-01-12T21:00:00,1337.94,1338.95,1337.84,1338.23
2018-01-14T23:00:00,1338.23,1338.23,1335.75,1336.84
